iter	RMSE
0	11378.24789
1	11073.84256
2	10752.63983
3	10430.62672
4	10131.40884
5	9828.101983
6	9543.549412
7	9272.865044
8	9038.57699
9	8814.3698
10	8571.270983
11	8349.983794
12	8134.302976
13	7955.061726
14	7747.5372
15	7559.507081
16	7404.493463
17	7229.322311
18	7073.074705
19	6927.788779
20	6773.98687
21	6638.993098
22	6534.885875
23	6413.162233
24	6280.814519
25	6173.537632
26	6062.65829
27	5972.047918
28	5828	6014.7529	5729	5915.8630	5630	5822.9131	5584.900434
32	5498.263699
33	5426.70327
34	5352.432355
35	5284.720475
36	5211.603109
37	5148.674174
38	5083.949492
39	5025.252087
40	4970.430092
41	4916.248417
42	4866.136758
43	48243	5024.044	47844	4980.745	47445	4942.946	47046	4908.247	46647	4872.148	4629.669084
49	4591.184564
50	4550	4776.1151	4551	4746.8452	4552	4718.2653	4469.430064
54	4442.459627
55	4413.416404
56	456	4616.18357	4372.218449
58	4351.828438
59	4329.649216
60	4308.394646
61	4288.31809
62	4270.843514
63	4254.141531
64	4239.986278
65	465	4448.10766	466	4431.3367	4200.576561
68	4168	4408.9769	4169	4402.5970	4170	4388.271	41571	4375.172	41472	4370.73	4136.048047
74	4123.436566
75	4112.198253
76	4102.235187
77	4092.569876
78	4082.623778
79	4075.183504
80	4064.559439
81	4052.347551
82	4043.070929
83	4032.681148
84	4025.656452
85	4016.533315
86	4010.641095
87	4002.628145
88	3995.683426
89	3988.596965
90	3978.757855
91	3969.666532
92	3960.463756
93	3954.419706
94	3951.348671
95	3945.684567
96	3943.240563
97	3936.426054
98	3930.935608
99	3928.178062
100	3921.693738
101	3916.206667
102	3910.986296
103	3905.589028
104	4144.788616
105	4141.422857
106	4134.971105
107	4128.788191
108	4121.974414
109	4118.635343
110	4112.95348
111	4108.61049
112	4104.031478
113	4099.202222
114	4096.295197
115	4092.11647
116	4088.032126
117	4083.127552
118	4078.225077
119	4074.168399
120	4068.794641
121	4063.872313
122	4060.194248
123	4053.729948
124	4051.576695
125	4047.102948
126	4042.542487
127	4039.378693
128	4037.354784
129	4034.219298
130	4031.844545
131	4027.125284
132	4021.78045
133	4017.590201
134	4013.074221
135	4007.04757
136	4003.601765
137	3998.513444
138	3993.668828
139	3990.923822
140	3987.696575
141	3986.271186
142	3982.560011
143	3979.45661
144	3975.940309
145	3971.956455
146	3969.069339
147	3966.7643
148	3963.994128
149	3959.688371
150	3954.71607
151	3949.990116
152	3945.542602
153	3943.462608
154	3940.311623
155	3937.142969
156	3935.535066
157	3932.47257
158	3929.280149
159	3927.314029
160	3923.923911
161	3922.361876
162	3919.8461
163	3915.327195
164	3911.700803
165	3907.65677
166	3905.611945
167	3903.925749
168	3900.033561
169	3895.94019
170	3890.94695
171	3886.574012
172	3883.158739
173	3881.578121
174	3878.121804
175	3874.470924
176	3871.339722
177	3869.013203
178	3863.89945
179	3861.581874
180	3856.643909
181	3854.621813
182	3850.458803
183	3847.218152
184	3843.502096
185	3841.489359
186	3837.077701
187	3835.110074
188	3832.450353
189	3830.291171
190	3827.592865
191	3824.458348
192	3821.209933
193	3816.999559
194	3812.535375
195	3809.839053
196	3808.148315
197	3805.815394
198	3803.08203
199	3797.173029
200	3795.073286
201	3790.793282
202	3788.170348
203	3785.875771
204	3782.564205
205	3779.247272
206	3776.060463
207	3773.680002
208	3771.410688
209	3767.847371
210	3766.871442
211	3763.34069
212	3761.104208
